abbreviation,location,location_name,population
NA,01053,Escambia County,36633
NA,01055,Etowah County,102268
NA,01057,Fayette County,16302
NA,01059,Franklin County,31362
NA,01061,Geneva County,26271
NA,01063,Greene County,8111
NA,01065,Hale County,14651
NA,01067,Henry County,17205
NA,01069,Houston County,105882
NA,01071,Jackson County,51626
NA,01073,Jefferson County,658573
NA,01075,Lamar County,13805
NA,01077,Lauderdale County,92729
NA,01079,Lawrence County,32924
NA,01081,Lee County,164542
NA,01083,Limestone County,98915
NA,01085,Lowndes County,9726
NA,01087,Macon County,18068
NA,01089,Madison County,372909
NA,01091,Marengo County,18863
NA,01093,Marion County,29709
NA,01095,Marshall County,96774
NA,01097,Mobile County,413210
NA,01099,Monroe County,20733
NA,01101,Montgomery County,226486
NA,01103,Morgan County,119679
NA,01105,Perry County,8923
NA,01107,Pickens County,19930
NA,01109,Pike County,33114
NA,01111,Randolph County,22722
NA,01113,Russell County,57961
NA,01115,St. Clair County,89512
NA,01117,Shelby County,217702
NA,01119,Sumter County,12427
NA,01121,Talladega County,79978
NA,01123,Tallapoosa County,40367
NA,01125,Tuscaloosa County,209355
NA,01127,Walker County,63521
NA,01129,Washington County,16326
NA,01131,Wilcox County,10373
NA,01133,Winston County,23629
NA,02013,Aleutians East County,3337
NA,02016,Aleutians West County,5634
NA,02020,Anchorage County,288000
NA,02050,Bethel County,18386
NA,02060,Bristol Bay County,836
NA,02063,Chugach County,6751
NA,02066,Copper River County,2699
NA,02068,Denali County,2097
NA,02070,Dillingham County,4916
NA,02090,Fairbanks North Star County,96849
NA,02100,Haines County,2530
NA,02105,Hoonah-Angoon County,2148
NA,02110,Juneau County,31974
NA,02122,Kenai Peninsula County,58708
NA,02130,Ketchikan Gateway County,13901
NA,02150,Kodiak Island County,12998
NA,02158,Kusilvak County,8314
NA,02164,Lake and Peninsula County,1592
NA,02170,Matanuska-Susitna County,108317
NA,02180,Nome County,10004
NA,02185,North Slope County,9832
NA,02188,Northwest Arctic County,7621
NA,02195,Petersburg County,3266
NA,02198,Prince of Wales-Hyder County,6203
NA,02220,Sitka County,8493
NA,02230,Skagway County,1183
NA,02240,Southeast Fairbanks County,6893
NA,02261,Valdez-Cordova County,9202
NA,02275,Wrangell County,2502
NA,02282,Yakutat County,579
NA,02290,Yukon-Koyukuk County,5230
NA,04001,Apache County,71887
NA,04003,Cochise County,125922
NA,04005,Coconino County,143476
NA,04007,Gila County,54018
NA,04009,Graham County,38837
NA,04011,Greenlee County,9498
NA,04012,La Paz County,21108
NA,04013,Maricopa County,4485414
NA,04015,Mohave County,212181
NA,04017,Navajo County,110924
NA,04019,Pima County,1047279
NA,04021,Pinal County,462789
NA,04023,Santa Cruz County,46498
NA,04025,Yavapai County,235099
NA,04027,Yuma County,213787
NA,05001,Arkansas County,17486
NA,05003,Ashley County,19657
NA,05005,Baxter County,41932
NA,05007,Benton County,279141
NA,05009,Boone County,37432
NA,05011,Bradley County,10763
NA,05013,Calhoun County,5189
NA,05015,Carroll County,28380
NA,05017,Chicot County,10118
NA,05019,Clark County,22320
NA,05021,Clay County,14551
NA,05023,Cleburne County,24919
NA,05025,Cleveland County,7956
NA,05027,Columbia County,23457
NA,05029,Conway County,20846
NA,05031,Craighead County,110332
NA,05033,Crawford County,63257
NA,05035,Crittenden County,47955
NA,05037,Cross County,16419
NA,05039,Dallas County,7009
NA,05041,Desha County,11361
NA,05043,Drew County,18219
NA,05045,Faulkner County,126007
NA,05047,Franklin County,17715
NA,05049,Fulton County,12477
NA,05051,Garland County,99386
NA,05053,Grant County,18265
NA,05055,Greene County,45325
NA,05057,Hempstead County,21532
NA,05059,Hot Spring County,33771
NA,05061,Howard County,13202
NA,05063,Independence County,37825
NA,05065,Izard County,13629
NA,05067,Jackson County,16719
NA,05069,Jefferson County,66824
NA,05071,Johnson County,26578
NA,05073,Lafayette County,6624
NA,05075,Lawrence County,16406
NA,05077,Lee County,8857
NA,05079,Lincoln County,13024
NA,05081,Little River County,12259
NA,05083,Logan County,21466
NA,05085,Lonoke County,73309
NA,05087,Madison County,16576
NA,05089,Marion County,16694
NA,05091,Miller County,43257
NA,05093,Mississippi County,40651
NA,05095,Monroe County,6701
NA,05097,Montgomery County,8986
NA,05099,Nevada County,8252
NA,05101,Newton County,7753
NA,05103,Ouachita County,23382
NA,05105,Perry County,10455
NA,05107,Phillips County,17782
NA,05109,Pike County,10718
NA,05111,Poinsett County,23528
NA,05113,Polk County,19964
NA,05115,Pope County,64072
NA,05117,Prairie County,8062
NA,05119,Pulaski County,391911
NA,05121,Randolph County,17958
NA,05123,St. Francis County,24994
NA,05125,Saline County,122437
NA,05127,Scott County,10281
NA,05129,Searcy County,7881
NA,05131,Sebastian County,127827
NA,05133,Sevier County,17007
NA,05135,Sharp County,17442
NA,05137,Stone County,12506
NA,05139,Union County,38682
NA,05141,Van Buren County,16545
NA,05143,Washington County,239187
NA,05145,White County,78753
NA,05147,Woodruff County,6320
NA,05149,Yell County,21341
NA,06001,Alameda County,1671329
NA,06003,Alpine County,1129
NA,06005,Amador County,39752
NA,06007,Butte County,219186
NA,06009,Calaveras County,45905
NA,06011,Colusa County,21547
NA,06013,Contra Costa County,1153526
NA,06015,Del Norte County,27812
NA,06017,El Dorado County,192843
NA,06019,Fresno County,999101
NA,06021,Glenn County,28393
NA,06023,Humboldt County,135558
NA,06025,Imperial County,181215
NA,06027,Inyo County,18039
NA,06029,Kern County,900202
NA,06031,Kings County,152940
NA,06033,Lake County,64386
NA,06035,Lassen County,30573
NA,06037,Los Angeles County,10039107
NA,06039,Madera County,157327
NA,06041,Marin County,258826
NA,06043,Mariposa County,17203
NA,06045,Mendocino County,86749
NA,06047,Merced County,277680
NA,06049,Modoc County,8841
NA,06051,Mono County,14444
NA,06053,Monterey County,434061
NA,06055,Napa County,137744
NA,06057,Nevada County,99755
NA,06059,Orange County,3175692
NA,06061,Placer County,398329
NA,06063,Plumas County,18807
NA,06065,Riverside County,2470546
NA,06067,Sacramento County,1552058
NA,06069,San Benito County,62808
NA,06071,San Bernardino County,2180085
NA,06073,San Diego County,3338330
NA,06075,San Francisco County,881549
NA,06077,San Joaquin County,762148
NA,06079,San Luis Obispo County,283111
NA,06081,San Mateo County,766573
NA,06083,Santa Barbara County,446499
NA,06085,Santa Clara County,1927852
NA,06087,Santa Cruz County,273213
NA,06089,Shasta County,180080
NA,06091,Sierra County,3005
NA,06093,Siskiyou County,43539
NA,06095,Solano County,447643
NA,06097,Sonoma County,494336
NA,06099,Stanislaus County,550660
NA,06101,Sutter County,96971
NA,06103,Tehama County,65084
NA,06105,Trinity County,12285
NA,06107,Tulare County,466195
NA,06109,Tuolumne County,54478
NA,06111,Ventura County,846006
NA,06113,Yolo County,220500
NA,06115,Yuba County,78668
NA,08001,Adams County,517421
NA,08003,Alamosa County,16233
NA,08005,Arapahoe County,656590
NA,08007,Archuleta County,14029
NA,08009,Baca County,3581
NA,08011,Bent County,5577
NA,08013,Boulder County,326196
NA,08014,Broomfield County,70465
NA,08015,Chaffee County,20356
NA,08017,Cheyenne County,1831
NA,08019,Clear Creek County,9700
NA,08021,Conejos County,8205
NA,08023,Costilla County,3887
NA,08025,Crowley County,6061
NA,08027,Custer County,5068
NA,08029,Delta County,31162
NA,08031,Denver County,727211
NA,08033,Dolores County,2055
NA,08035,Douglas County,351154
NA,08037,Eagle County,55127
NA,08039,Elbert County,26729
NA,08041,El Paso County,720403
NA,08043,Fremont County,47839
NA,08045,Garfield County,60061
NA,08047,Gilpin County,6243
NA,08049,Grand County,15734
NA,08051,Gunnison County,17462
NA,08053,Hinsdale County,820
NA,08055,Huerfano County,6897
NA,08057,Jackson County,1392
NA,08059,Jefferson County,582881
NA,08061,Kiowa County,1406
NA,08063,Kit Carson County,7097
NA,08065,Lake County,8127
NA,08067,La Plata County,56221
NA,08069,Larimer County,356899
NA,08071,Las Animas County,14506
NA,08073,Lincoln County,5701
NA,08075,Logan County,22409
NA,08077,Mesa County,154210
NA,08079,Mineral County,769
NA,08081,Moffat County,13283
NA,08083,Montezuma County,26183
NA,08085,Montrose County,42758
NA,08087,Morgan County,29068
NA,08089,Otero County,18278
NA,08091,Ouray County,4952
NA,08093,Park County,18845
NA,08095,Phillips County,4265
NA,08097,Pitkin County,17767
NA,08099,Prowers County,12172
NA,08101,Pueblo County,168424
NA,08103,Rio Blanco County,6324
NA,08105,Rio Grande County,11267
NA,08107,Routt County,25638
NA,08109,Saguache County,6824
NA,08111,San Juan County,728
NA,08113,San Miguel County,8179
NA,08115,Sedgwick County,2248
NA,08117,Summit County,31011
NA,08119,Teller County,25388
NA,08121,Washington County,4908
NA,08123,Weld County,324492
NA,08125,Yuma County,10019
NA,09001,Fairfield County,943332
NA,09003,Hartford County,891720
NA,09005,Litchfield County,180333
NA,09007,Middlesex County,162436
NA,09009,New Haven County,854757
NA,09011,New London County,265206
NA,09013,Tolland County,150721
NA,09015,Windham County,116782
NA,10001,Kent County,180786
NA,10003,New Castle County,558753
NA,10005,Sussex County,234225
NA,11001,District of Columbia,705749
NA,12001,Alachua County,269043
NA,12003,Baker County,29210
NA,12005,Bay County,174705
NA,12007,Bradford County,28201
NA,12009,Brevard County,601942
NA,12011,Broward County,1952778
NA,12013,Calhoun County,14105
NA,12015,Charlotte County,188910
NA,12017,Citrus County,149657
NA,12019,Clay County,219252
NA,12021,Collier County,384902
NA,12023,Columbia County,71686
NA,12027,DeSoto County,38001
NA,12029,Dixie County,16826
NA,12031,Duval County,957755
NA,12033,Escambia County,318316
NA,12035,Flagler County,115081
NA,12037,Franklin County,12125
NA,12039,Gadsden County,45660
NA,12041,Gilchrist County,18582
NA,12043,Glades County,13811
NA,12045,Gulf County,13639
NA,12047,Hamilton County,14428
NA,12049,Hardee County,26937
NA,12051,Hendry County,42022
NA,12053,Hernando County,193920
NA,12055,Highlands County,106221
NA,12057,Hillsborough County,1471968
NA,12059,Holmes County,19617
NA,12061,Indian River County,159923
NA,12063,Jackson County,46414
NA,12065,Jefferson County,14246
NA,12067,Lafayette County,8422
NA,12069,Lake County,367118
NA,12071,Lee County,770577
NA,12073,Leon County,293582
NA,12075,Levy County,41503
NA,12077,Liberty County,8354
NA,12079,Madison County,18493
NA,12081,Manatee County,403253
NA,12083,Marion County,365579
NA,12085,Martin County,161000
NA,12086,Miami-Dade County,2716940
NA,12087,Monroe County,74228
NA,12089,Nassau County,88625
NA,12091,Okaloosa County,210738
NA,12093,Okeechobee County,42168
NA,12095,Orange County,1393452
NA,12097,Osceola County,375751
NA,12099,Palm Beach County,1496770
NA,12101,Pasco County,553947
NA,12103,Pinellas County,974996
NA,12105,Polk County,724777
NA,12107,Putnam County,74521
NA,12109,St. Johns County,264672
NA,12111,St. Lucie County,328297
NA,12113,Santa Rosa County,184313
NA,12115,Sarasota County,433742
NA,12117,Seminole County,471826
NA,12119,Sumter County,132420
NA,12121,Suwannee County,44417
NA,12123,Taylor County,21569
NA,12125,Union County,15237
NA,12127,Volusia County,553284
NA,12129,Wakulla County,33739
NA,12131,Walton County,74071
NA,12133,Washington County,25473
NA,13001,Appling County,18386
NA,13003,Atkinson County,8165
NA,13005,Bacon County,11164
NA,13007,Baker County,3038
NA,13009,Baldwin County,44890
NA,13011,Banks County,19234
NA,13013,Barrow County,83240
NA,13015,Bartow County,107738
NA,13017,Ben Hill County,16700
NA,13019,Berrien County,19397
NA,13021,Bibb County,153159
NA,13023,Bleckley County,12873
NA,13025,Brantley County,19109
NA,13027,Brooks County,15457
NA,13029,Bryan County,39627
NA,13031,Bulloch County,79608
NA,13033,Burke County,22383
NA,13035,Butts County,24936
NA,13037,Calhoun County,6189
NA,13039,Camden County,54666
NA,13043,Candler County,10803
NA,13045,Carroll County,119992
NA,13047,Catoosa County,67580
NA,13049,Charlton County,13392
NA,13051,Chatham County,289430
NA,13053,Chattahoochee County,10907
NA,13055,Chattooga County,24789
NA,13057,Cherokee County,258773
NA,13059,Clarke County,128331
NA,13061,Clay County,2834
NA,13063,Clayton County,292256
NA,13065,Clinch County,6618
NA,13067,Cobb County,760141
NA,13069,Coffee County,43273
NA,13071,Colquitt County,45600
NA,13073,Columbia County,156714
NA,13075,Cook County,17270
NA,13077,Coweta County,148509
NA,13079,Crawford County,12404
NA,13081,Crisp County,22372
NA,13083,Dade County,16116
NA,13085,Dawson County,26108
NA,13087,Decatur County,26404
NA,13089,DeKalb County,759297
NA,13091,Dodge County,20605
NA,13093,Dooly County,13390
NA,13095,Dougherty County,87956
NA,13097,Douglas County,146343
NA,13099,Early County,10190
NA,13101,Echols County,4006
NA,13103,Effingham County,64296
NA,13105,Elbert County,19194
NA,13107,Emanuel County,22646
NA,13109,Evans County,10654
NA,13111,Fannin County,26188
NA,13113,Fayette County,114421
NA,13115,Floyd County,98498
NA,13117,Forsyth County,244252
NA,13119,Franklin County,23349
NA,13121,Fulton County,1063937
NA,13123,Gilmer County,31369
NA,13125,Glascock County,2971
NA,13127,Glynn County,85292
NA,13129,Gordon County,57963
NA,13131,Grady County,24633
NA,13133,Greene County,18324
NA,13135,Gwinnett County,936250
NA,13137,Habersham County,45328
NA,13139,Hall County,204441
NA,13141,Hancock County,8457
NA,13143,Haralson County,29792
NA,13145,Harris County,35236
NA,13147,Hart County,26205
NA,13149,Heard County,11923
NA,13151,Henry County,234561
NA,13153,Houston County,157863
NA,13155,Irwin County,9416
NA,13157,Jackson County,72977
NA,13159,Jasper County,14219
NA,13161,Jeff Davis County,15115
NA,13163,Jefferson County,15362
NA,13165,Jenkins County,8676
NA,13167,Johnson County,9643
NA,13169,Jones County,28735
NA,13171,Lamar County,19077
NA,13173,Lanier County,10423
NA,13175,Laurens County,47546
NA,13177,Lee County,29992
NA,13179,Liberty County,61435
NA,13181,Lincoln County,7921
NA,13183,Long County,19559
NA,13185,Lowndes County,117406
NA,13187,Lumpkin County,33610
NA,13189,McDuffie County,21312
NA,13191,McIntosh County,14378
NA,13193,Macon County,12947
NA,13195,Madison County,29880
NA,13197,Marion County,8359
NA,13199,Meriwether County,21167
NA,13201,Miller County,5718
NA,13205,Mitchell County,21863
NA,13207,Monroe County,27578
NA,13209,Montgomery County,9172
NA,13211,Morgan County,19276
NA,13213,Murray County,40096
NA,13215,Muscogee County,195769
NA,13217,Newton County,111744
NA,13219,Oconee County,40280
NA,13221,Oglethorpe County,15259
NA,13223,Paulding County,168667
NA,13225,Peach County,27546
NA,13227,Pickens County,32591
NA,13229,Pierce County,19465
NA,13231,Pike County,18962
NA,13233,Polk County,42613
NA,13235,Pulaski County,11137
NA,13237,Putnam County,22119
NA,13239,Quitman County,2299
NA,13241,Rabun County,17137
NA,13243,Randolph County,6778
NA,13245,Richmond County,202518
NA,13247,Rockdale County,90896
NA,13249,Schley County,5257
NA,13251,Screven County,13966
NA,13253,Seminole County,8090
NA,13255,Spalding County,66703
NA,13257,Stephens County,25925
NA,13259,Stewart County,6621
NA,13261,Sumter County,29524
NA,13263,Talbot County,6195
NA,13265,Taliaferro County,1537
NA,13267,Tattnall County,25286
NA,13269,Taylor County,8020
NA,13271,Telfair County,15860
NA,13273,Terrell County,8531
NA,13275,Thomas County,44451
NA,13277,Tift County,40644
NA,13279,Toombs County,26830
NA,13281,Towns County,12037
NA,13283,Treutlen County,6901
NA,13285,Troup County,69922
NA,13287,Turner County,7985
NA,13289,Twiggs County,8120
NA,13291,Union County,24511
NA,13293,Upson County,26320
NA,13295,Walker County,69761
NA,13297,Walton County,94593
NA,13299,Ware County,35734
NA,13301,Warren County,5254
NA,13303,Washington County,20374
NA,13305,Wayne County,29927
NA,13307,Webster County,2607
NA,13309,Wheeler County,7855
NA,13311,White County,30798
NA,13313,Whitfield County,104628
NA,13315,Wilcox County,8635
NA,13317,Wilkes County,9777
NA,13319,Wilkinson County,8954
NA,13321,Worth County,20247
NA,15001,Hawaii County,201513
NA,15003,Honolulu County,974563
NA,15005,Kalawao County,86
NA,15007,Kauai County,72293
NA,15009,Maui County,167417
NA,16001,Ada County,481587
NA,16003,Adams County,4294
NA,16005,Bannock County,87808
NA,16007,Bear Lake County,6125
NA,16009,Benewah County,9298
NA,16011,Bingham County,46811
NA,16013,Blaine County,23021
NA,16015,Boise County,7831
NA,16017,Bonner County,45739
NA,16019,Bonneville County,119062
NA,16021,Boundary County,12245
NA,16023,Butte County,2597
NA,16025,Camas County,1106
NA,16027,Canyon County,229849
NA,16029,Caribou County,7155
NA,16031,Cassia County,24030
NA,16033,Clark County,845
NA,16035,Clearwater County,8756
NA,16037,Custer County,4315
NA,16039,Elmore County,27511
NA,16041,Franklin County,13876
NA,16043,Fremont County,13099
NA,16045,Gem County,18112
NA,16047,Gooding County,15179
NA,16049,Idaho County,16667
NA,16051,Jefferson County,29871
NA,16053,Jerome County,24412
NA,16055,Kootenai County,165697
NA,16057,Latah County,40108
NA,16059,Lemhi County,8027
NA,16061,Lewis County,3838
NA,16063,Lincoln County,5366
NA,16065,Madison County,39907
NA,16067,Minidoka County,21039
NA,16069,Nez Perce County,40408
NA,16071,Oneida County,4531
NA,16073,Owyhee County,11823
NA,16075,Payette County,23951
NA,16077,Power County,7681
NA,16079,Shoshone County,12882
NA,16081,Teton County,12142
NA,16083,Twin Falls County,86878
NA,16085,Valley County,11392
NA,16087,Washington County,10194
NA,17001,Adams County,65435
NA,17003,Alexander County,5761
NA,17005,Bond County,16426
NA,17007,Boone County,53544
NA,17009,Brown County,6578
NA,17011,Bureau County,32628
NA,17013,Calhoun County,4739
NA,17015,Carroll County,14305
NA,17017,Cass County,12147
NA,17019,Champaign County,209689
NA,17021,Christian County,32304
NA,17023,Clark County,15441
NA,17025,Clay County,13184
NA,17027,Clinton County,37562
NA,17029,Coles County,50621
NA,17031,Cook County,5150233
NA,17033,Crawford County,18667
NA,17035,Cumberland County,10766
NA,17037,DeKalb County,104897
NA,17039,De Witt County,15638
NA,17041,Douglas County,19465
NA,17043,DuPage County,922921
NA,17045,Edgar County,17161
NA,17047,Edwards County,6395
NA,17049,Effingham County,34008
NA,17051,Fayette County,21336
NA,17053,Ford County,12961
NA,17055,Franklin County,38469
NA,17057,Fulton County,34340
NA,17059,Gallatin County,4828
NA,17061,Greene County,12969
NA,17063,Grundy County,51054
NA,17065,Hamilton County,8116
NA,17067,Hancock County,17708
NA,17069,Hardin County,3821
NA,17071,Henderson County,6646
NA,17073,Henry County,48913
NA,17075,Iroquois County,27114
NA,17077,Jackson County,56750
NA,17079,Jasper County,9610
NA,17081,Jefferson County,37684
NA,17083,Jersey County,21773
NA,17085,Jo Daviess County,21235
NA,17087,Johnson County,12417
NA,17089,Kane County,532403
NA,17091,Kankakee County,109862
NA,17093,Kendall County,128990
NA,17095,Knox County,49699
NA,17097,Lake County,696535
NA,17099,LaSalle County,108669
NA,17101,Lawrence County,15678
NA,17103,Lee County,34096
NA,17105,Livingston County,35648
NA,17107,Logan County,28618
NA,17109,McDonough County,29682
NA,17111,McHenry County,307774
NA,17113,McLean County,171517
NA,17115,Macon County,104009
NA,17117,Macoupin County,44926
NA,17119,Madison County,262966
NA,17121,Marion County,37205
NA,17123,Marshall County,11438
NA,17125,Mason County,13359
NA,17127,Massac County,13772
NA,17129,Menard County,12196
NA,17131,Mercer County,15437
NA,17133,Monroe County,34637
NA,17135,Montgomery County,28414
NA,17137,Morgan County,33658
NA,17139,Moultrie County,14501
NA,17141,Ogle County,50643
NA,17143,Peoria County,179179
NA,17145,Perry County,20916
NA,17147,Piatt County,16344
NA,17149,Pike County,15561
NA,17151,Pope County,4177
NA,17153,Pulaski County,5335
NA,17155,Putnam County,5739
NA,17157,Randolph County,31782
NA,17159,Richland County,15513
NA,17161,Rock Island County,141879
NA,17163,St. Clair County,259686
NA,17165,Saline County,23491
NA,17167,Sangamon County,194672
NA,17169,Schuyler County,6768
NA,17171,Scott County,4951
NA,17173,Shelby County,21634
NA,17175,Stark County,5342
NA,17177,Stephenson County,44498
NA,17179,Tazewell County,131803
NA,17181,Union County,16653
NA,17183,Vermilion County,75758
NA,17185,Wabash County,11520
NA,17187,Warren County,16844
NA,17189,Washington County,13887
NA,17191,Wayne County,16215
NA,17193,White County,13537
NA,17195,Whiteside County,55175
NA,17197,Will County,690743
NA,17199,Williamson County,66597
NA,17201,Winnebago County,282572
NA,17203,Woodford County,38459
NA,18001,Adams County,35777
NA,18003,Allen County,379299
NA,18005,Bartholomew County,83779
NA,18007,Benton County,8748
NA,18009,Blackford County,11758
NA,18011,Boone County,67843
NA,18013,Brown County,15092
NA,18015,Carroll County,20257
NA,18017,Cass County,37689
NA,18019,Clark County,118302
NA,18021,Clay County,26225
NA,18023,Clinton County,32399
NA,18025,Crawford County,10577
NA,18027,Daviess County,33351
NA,18029,Dearborn County,49458
NA,18031,Decatur County,26559
NA,18033,DeKalb County,43475
NA,18035,Delaware County,114135
NA,18037,Dubois County,42736
NA,18039,Elkhart County,206341
NA,18041,Fayette County,23102
NA,18043,Floyd County,78522
NA,18045,Fountain County,16346
NA,18047,Franklin County,22758
NA,18049,Fulton County,19974
NA,18051,Gibson County,33659
NA,18053,Grant County,65769
NA,18055,Greene County,31922
NA,18057,Hamilton County,338011
NA,18059,Hancock County,78168
NA,18061,Harrison County,40515
NA,18063,Hendricks County,170311
NA,18065,Henry County,47972
NA,18067,Howard County,82544
NA,18069,Huntington County,36520
NA,18071,Jackson County,44231
NA,18073,Jasper County,33562
NA,18075,Jay County,20436
NA,18077,Jefferson County,32308
NA,18079,Jennings County,27735
NA,18081,Johnson County,158167
NA,18083,Knox County,36594
NA,18085,Kosciusko County,79456
NA,18087,LaGrange County,39614
NA,18089,Lake County,485493
NA,18091,LaPorte County,109888
NA,18093,Lawrence County,45370
NA,18095,Madison County,129569
NA,18097,Marion County,964582
NA,18099,Marshall County,46258
NA,18101,Martin County,10255
NA,18103,Miami County,35516
NA,18105,Monroe County,148431
NA,18107,Montgomery County,38338
NA,18109,Morgan County,70489
NA,18111,Newton County,13984
NA,18113,Noble County,47744
NA,18115,Ohio County,5875
NA,18117,Orange County,19646
NA,18119,Owen County,20799
NA,18121,Parke County,16937
NA,18123,Perry County,19169
NA,18125,Pike County,12389
NA,18127,Porter County,170389
NA,18129,Posey County,25427
NA,18131,Pulaski County,12353
NA,18133,Putnam County,37576
NA,18135,Randolph County,24665
NA,18137,Ripley County,28324
NA,18139,Rush County,16581
NA,18141,St. Joseph County,271826
NA,18143,Scott County,23873
NA,18145,Shelby County,44729
NA,18147,Spencer County,20277
NA,18149,Starke County,22995
NA,18151,Steuben County,34594
NA,18153,Sullivan County,20669
NA,18155,Switzerland County,10751
NA,18157,Tippecanoe County,195732
NA,18159,Tipton County,15148
NA,18161,Union County,7054
NA,18163,Vanderburgh County,181451
NA,18165,Vermillion County,15498
NA,18167,Vigo County,107038
NA,18169,Wabash County,30996
NA,18171,Warren County,8265
NA,18173,Warrick County,62998
NA,18175,Washington County,28036
NA,18177,Wayne County,65884
NA,18179,Wells County,28296
NA,18181,White County,24102
NA,18183,Whitley County,33964
NA,19001,Adair County,7152
NA,19003,Adams County,3602
NA,19005,Allamakee County,13687
NA,19007,Appanoose County,12426
NA,19009,Audubon County,5496
NA,19011,Benton County,25645
NA,19013,Black Hawk County,131228
NA,19015,Boone County,26234
NA,19017,Bremer County,25062
NA,19019,Buchanan County,21175
NA,19021,Buena Vista County,19620
NA,19023,Butler County,14439
NA,19025,Calhoun County,9668
NA,19027,Carroll County,20165
NA,19029,Cass County,12836
NA,19031,Cedar County,18627
NA,19033,Cerro Gordo County,42450
NA,19035,Cherokee County,11235
NA,19037,Chickasaw County,11933
NA,19039,Clarke County,9395
NA,19041,Clay County,16016
NA,19043,Clayton County,17549
NA,19045,Clinton County,46429
NA,19047,Crawford County,16820
NA,19049,Dallas County,93453
NA,19051,Davis County,9000
NA,19053,Decatur County,7870
NA,19055,Delaware County,17011
NA,19057,Des Moines County,38967
NA,19059,Dickinson County,17258
NA,19061,Dubuque County,97311
NA,19063,Emmet County,9208
NA,19065,Fayette County,19650
NA,19067,Floyd County,15642
NA,19069,Franklin County,10070
NA,19071,Fremont County,6960
NA,19073,Greene County,8888
NA,19075,Grundy County,12232
NA,19077,Guthrie County,10689
NA,19079,Hamilton County,14773
NA,19081,Hancock County,10630
NA,19083,Hardin County,16846
NA,19085,Harrison County,14049
NA,19087,Henry County,19954
NA,19089,Howard County,9158
NA,19091,Humboldt County,9558
NA,19093,Ida County,6860
NA,19095,Iowa County,16184
NA,19097,Jackson County,19439
NA,19099,Jasper County,37185
NA,19101,Jefferson County,18295
NA,19103,Johnson County,151140
NA,19105,Jones County,20681
NA,19107,Keokuk County,10246
NA,19109,Kossuth County,14813
NA,19111,Lee County,33657
NA,19113,Linn County,226706
NA,19115,Louisa County,11035
NA,19117,Lucas County,8600
NA,19119,Lyon County,11755
NA,19121,Madison County,16338
NA,19123,Mahaska County,22095
NA,19125,Marion County,33253
NA,19127,Marshall County,39369
NA,19129,Mills County,15109
NA,19131,Mitchell County,10586
NA,19133,Monona County,8615
NA,19135,Monroe County,7707
NA,19137,Montgomery County,9917
NA,19139,Muscatine County,42664
NA,19141,O'Brien County,13753
NA,19143,Osceola County,5958
NA,19145,Page County,15107
NA,19147,Palo Alto County,8886
NA,19149,Plymouth County,25177
NA,19151,Pocahontas County,6619
